,Fetal_Intestine_10,Fetal_Intestine_7,Fetal_Intestine_15,unassigned,Fetal_Intestine_18,Fetal_Intestine_17,Fetal_Intestine_3,Fetal_Intestine_12,Fetal_Intestine_8,Fetal_Intestine_9,Fetal_Intestine_11,Fetal_Intestine_14,Fetal_Intestine_1,Fetal_Intestine_20,Fetal_Intestine_2,Fetal_Intestine_16,Fetal_Intestine_4,Fetal_Intestine_6,Fetal_Intestine_13,Fetal_Intestine_5,Fetal_Intestine_19
Ppia,0.706144554705402,1.18270761410003,0.795731739594104,0,0.79823314003284,1.1627453968647,1.17922271288132,1.18513550058196,0.982951165252766,0.979324799776887,0.954354595623978,0.898087064447096,1.10741116775765,0,1.08012391837376,1.18422644457763,1.20596269888234,1.00990856228153,1.06013597872914,1.00420008845214,0.88425743828249
Ppp1r14a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx1,0.532169883290257,1.26039868580043,0.548993942434768,0,0,1.0737588558256,0.930668978096979,1.2506820097086,1.04585218622564,0.933930699793908,0.910703965881334,0,1.00226732503446,0.741923907733238,0.845588022609052,0.842547658764238,0.992558394808702,0.746340380579724,0.889121454715484,0.885293534890259,1.02715454766347
Prdx2,1.13520181827568,0.873726012559294,1.09609590135994,1.05168551251273,1.98421685507579,0.823778180038399,0.815028218613708,1.01266735970637,0,0,0.890903451290501,1.26594749976086,0.875154119021122,1.06141608636779,0.991399912537766,0,1.10462075536728,0.964392419643857,0.878603381989597,0.85421329728614,1.04489782059253
Prdx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx5,0,0,0,0,0,0,0,0,0.660977598096716,0,0,0,0,0.320794090649317,0,0,0,0,0,0,0
Prdx6,0,0.717392060506357,0,0,0.677174886145245,0.841893382054532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31454856718393
Prmt1,0,0,0,0,0,0.441323904564464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psap,0,0,0,0,0,0,0,0,1.23107886368344,0.797612552394688,0,0,0,0,0,0,0,0,0,0,0
Psma2,0,0.606468183724899,0,0,0.241768095181814,0.642479687608491,0,0,0,0,0,0,0,0.99828138945174,0,0.260097849881542,0,0,0,0,0
Psma7,0,1.14338058086682,0,0,0.689557101652615,1.11046614862911,0.719512920447517,1.04599029278142,0.885586690686288,0,0.887849586592233,1.12907133514483,0.812070582481743,0.320794090649317,0.755540944153103,0.876192841668347,1.03357876867683,0.64007477812724,0.511998239791395,0,0.943685954778366
Psmb1,0,0.797174460555761,0,0,0.718747320167817,0.823274228259347,0.718004073179879,0.50420218278715,0.675140878787708,0,0,0.899298282924382,0.743051590992954,1.06965740082599,0,0.878354722261648,0.527742416533402,0,0,0,0.824833550561656
Psmb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psmb6,0.474800436864699,0.87401209544585,0.607452249213334,0,0,1.05265100685357,0.93589987649437,0.71834649043547,0.530513697709867,0,0.947584928340756,0.907920937646864,0.999998344142652,0.885594985937651,0.902336902933605,0.50933117427767,0.892983881274355,0.93919972092974,0.829633637138339,0.564782589115759,0
Ptma,1.30363851037903,1.83629770985348,1.15863851198399,0,1.73381141773817,1.83248402618632,1.93014838276943,1.84697107506572,1.31831485762595,1.22933074014714,1.7276886783006,2.08991595916296,1.93568953378898,1.28899112491207,1.79984259779794,1.69214496180866,1.97174542901479,1.6634791935671,1.86428636580036,1.42590242850691,1.58005753205112
Ptms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96861040496536,1.1992914315353,0
Ptov1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rac2,0,0,0,0,0,0,0,0,0.802372876667447,0,0,0,0,0,0,0.852495035311262,0,0,0,0,0
Rack1,0.55673337778116,1.1205688278903,0.488503250201598,0,0.859595576763549,1.23105286677216,0.890012243531169,1.12118783374172,0.900509501401668,0.812070582481743,0.818489548081101,0.76760812951706,0.948570165427279,0,0.756175733221391,0.972869009931822,0.942362587642368,0.846388871932281,0.598080384425589,0.863053393383607,1.19731522860216
Raly,0,0,0,0,0,0,0.496870376934609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ran,0,0.880943729421386,0,0,0.959370018445625,0.972155283863998,0.978964933864908,0.678914106671076,0.500546719564394,0,0,0,0.70947988434265,0,0,0.709179568362322,1.03601149477519,0,0.849608283594457,0,0
Ranbp1,0,0.886761720566401,0,0,0.357366274983619,0.945108331719318,0.737394131599158,0.847521816892122,0,0,0,0,0.655226682205458,0,0,0.5054624115644,0.982588532700692,0,0,0,0
Rbm8a,0,0,0,0,0,0.534190587806865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp1,0,0,0,0,0,0,0,0,0,0,0,1.15987905909577,0,0,0,0,1.63331475775499,0,0,0,0.814221362246824
Rbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rcn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707123608534952,0,0,0,0,0,0,0
Rcn3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259998719915282,0
Reep5,0,0,0,0,0,1.16877338928012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0.759798737194855,0,0,0,0,0,0,0,0,0,0,0,0
Rhoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl10,1.05168481532986,1.63654816661417,1.03710214069619,0,1.48525593578132,1.92370221104793,1.48235730321401,1.60124201044618,1.73996209086464,1.38975141181039,1.30962936747921,1.29581404846447,1.68007813184646,1.26098072272002,1.52732548983731,1.72842813459932,1.44880501976943,1.35875887423289,1.32510334872833,1.33508300251677,1.67942022135509
Rpl11,1.46497416806895,2.15488960685126,1.47613329451301,0,1.72850095161008,2.35825905642288,1.84866500665395,1.9050230932168,1.90335431550938,1.60192537485133,1.92578037175727,1.79136819420513,1.91341526343798,1.62477138195874,1.88960479086418,2.03878896584234,1.97215616193755,1.75747797294605,1.80372279732628,1.89746606759531,1.72706332708696
Rpl12,0.660977598096716,1.22816824439702,0.714984149353775,0,0.917201750597394,1.24108654774673,0.96755245784502,1.05379298747752,1.00990856228153,0.987339792003485,0.913767608718342,0.804114851509853,1.0533637761292,0.944077633561525,1.00151218875574,1.03522111358254,0.99218200768592,0.711346770899457,0.75049345958689,0.898549718598123,0.917931589519646
Rpl13,2.37044891092496,3.00946818322171,2.38524882481359,1.17975603638936,3.01431538510185,3.1472364901107,2.92994491161953,2.9066446267248,2.85684040684134,2.60048124979134,2.79564810446684,2.47471716790825,3.03923092558485,2.2777113325274,2.9659785414012,3.05854338553685,2.90669450750839,2.83353600673846,2.77775207638649,2.90257083822275,2.77735977278131
Rpl14,1.58228243796863,2.36355609564393,1.71710655362791,0,2.07691851980393,2.27957922420022,2.01849101883973,2.29193492519979,2.16640794328213,1.86428636580036,1.94866715790048,2.04590068718159,2.08553902167388,1.64391725401987,2.10702018726031,2.22301589463338,2.29357616502403,2.04291614654137,1.98318488534585,2.01483743987769,2.09369272415558
Rpl15,0.443398150662281,0.928892763574051,0.234307679323524,0,0.783686038795323,1.19406996278988,0.926302017558878,0.828230036987209,0.819503260865592,0,0.821536911535685,0.888923218566441,0.910335714024502,0,0.976085967288924,0.854777688951039,0.938585991007013,0.953328403435529,0.58195891325455,0.816516278592301,1.12508703190118
Rpl17,0.799509714883407,1.47410136980993,0.894952214435739,0,1.28449714263306,1.6931731987781,1.19874035738948,1.39127868917094,1.16919005897663,1.16242863271978,1.20180569512812,1.10230087348759,1.22971875719056,0.737985532874409,1.24227393383153,1.18810270295095,1.23400887390686,1.13128179006868,1.11021971431578,1.15525378981706,1.29191870976515
Rpl18,1.06013597872914,1.87403468155813,1.27625355161022,0,1.59219222720586,1.99469548563268,1.62796420822571,1.78475409284941,1.63277729371256,1.36600272778064,1.60589894928834,1.27285972748809,1.67248780030817,1.48190366981918,1.69724476651462,1.62003085626899,1.72829900307478,1.48561875212939,1.47007674652681,1.50961473443889,1.70620554964793
Rpl18a,1.86284226974871,2.59649976717228,2.08502682771233,1.1163566803345,2.28824057174362,2.49613946978563,2.43172824689252,2.51235012806592,2.58464539418923,2.41405438412963,2.41792930575963,2.4179556304158,2.52511872154098,2.285061736231,2.49878026600422,2.73898353743341,2.5099616137631,2.36842013525197,2.43624115972636,2.31871276092179,2.51881125715341
Rpl19,0.725479691036614,1.19416605744442,0.69902662464649,0,0.826824238309487,1.20933120788123,0.98222422157543,1.01927997176427,0.989549406947974,0.910957212633119,0.96763548629935,0.901727484194652,1.06699978511909,0.737985532874409,1.04751175169977,1.12787699550446,1.11116005475509,0.949924634203458,0.934585979713062,1.00609458433171,1.05260818323441
Rpl21,1.03763595886589,1.75874424587625,1.0868979443371,0,1.49442101712666,1.76775703291587,1.47178618860737,1.61006925880271,1.51415075690703,1.26656416159649,1.371245402104,1.45114838316828,1.49146611141275,1.0807989170478,1.51401299007708,1.63959557928735,1.63224061017819,1.34170509776997,1.51142522976801,1.43474734244234,1.53411909520245
Rpl22,0.658728968855051,1.18999106587922,0.697984298964302,0,0.925880272201834,1.11731732230032,1.03722884611381,1.08614772240791,1.05105664452808,0.812070582481743,0.927753670968928,0.799369249354404,1.04917682286938,0,1.06916841554705,1.0421423774725,1.01693010327641,0.993999610420618,0.963693122754586,0.901459676765241,1.11122683846311
Rpl22l1,0,0.816037162745727,0,0,0.72440574905888,0.893946730408164,0.732847278625923,0.843459794489033,0.719681597828522,0,0.707239535600912,0,0.789188297451568,0,0,0,0.891792611114036,0,0.632615300151204,0.533881507963408,0.966600593775081
Rpl23,0.934585979713062,1.60865660010019,1.14138442650858,0,1.36095672173882,1.84975087850561,1.24645340361239,1.48171659248578,1.33565888579842,1.25917171746885,1.38975141181039,1.39890431902171,1.3089348331155,1.50987453846406,1.31764046297578,1.58805545107638,1.56364923813347,1.38673434529603,1.31651712696557,1.37925467933175,1.66855116665616
Rpl23a,1.00264652994085,1.61789129830491,1.11825926349075,0,1.35739998276549,1.63970204235743,1.37112297706777,1.74285599552009,1.35017426355194,1.18943877314699,1.25917298276204,1.28706151445869,1.41755541926802,1.12834189746661,1.35732161483233,1.45829703501491,1.52763252388403,1.29447912795667,1.33473387245084,1.40261142673916,1.65467653786273
Rpl26,1.26904886743311,1.9054045622323,1.34454076691552,0,1.51831103315395,2.17428786487605,1.67272402508333,1.93992301112464,1.80766059414667,1.7180065026544,1.66798349693764,1.63904726738797,1.80573729894825,1.5688469376027,1.80182505198709,1.78944766234706,1.90456937675156,1.7276877197415,1.5683850424498,1.7323699898068,1.42904729316317
Rpl27,0.685047114369811,1.16976207076016,0.693117121177778,0,1.0495496233956,1.13153531874848,1.02258800637109,1.13030622348243,1.07220892611991,0.854484928694794,1.04628044557565,0.9928867797502,1.06013597872914,0.767521523943181,1.06699978511909,1.08014217456062,1.1867322585616,0.970733783568979,0.973580026439196,1.03357876867683,0.991557132759152
Rpl27a,0.58672739333689,1.07461992337452,0.234307679323524,0,0.942702136188996,1.14042047193994,0.732370339527218,0.998868001745538,1.02715390200577,0.854484928694794,0.875728603994409,0.707173651886242,0.933276369922031,0.320794090649317,0.98186047041997,0.93888321964207,0.9516234917411,0.911579588500909,0.878603381989597,0.775549999529504,0.999242359251157
Rpl28,0.765409125096178,1.07217705257032,0.7515606678002,0,1.08904503580812,1.17870257931987,1.00779702289668,1.09755363044805,1.04502445925555,0.847995434681845,1.08012620035729,0.94862010140425,1.11778276707935,1.01871627445466,1.08726217065448,1.08014217456062,1.0421423774725,0.912202843544626,1.04626656298934,1.04876021008095,1.12431622529236
Rpl3,1.18998164126652,1.86801407464715,1.18070940221166,0,1.68742670917004,1.86227390813262,1.56478943837561,1.81136064815077,1.7600125659255,1.34170509776997,1.53359641865099,1.44823932221395,1.6962697941477,0.99828138945174,1.75811724263089,1.88836453582542,1.80618578059174,1.70252980289947,1.51142522976801,1.70253797877801,1.50556948512394
Rpl30,0.895678040348347,1.54481405161156,1.02855211780768,0,1.24932378190967,1.56318063395317,1.27909230962069,1.43421019641598,1.25794854916938,1.157283323863,1.25006184905363,1.11517338754799,1.28802025466213,0.920502987789608,1.28035965385429,1.31825663270334,1.34100799191253,1.21780963642877,1.22469469172188,1.26968760502113,1.28441822337794
Rpl31,0.981497277898095,1.66264020011649,1.02596440333223,0,1.2021780483795,1.71093650478067,1.32476449700553,1.56237078946368,1.35588435543178,1.28545589201389,1.38336228055336,1.27535380120232,1.3551677627165,1.14151505199589,1.34733890185929,1.63049351702722,1.44828379488984,1.36309525956731,1.29577920003134,1.39993560263317,1.64447902423241
Rpl32,1.693741269194,2.55444943497624,1.88625873521354,0.990658215672657,2.22912273549453,2.56748727259795,2.24465543996076,2.44235289587065,2.49733258388968,2.14857628591299,2.27194445259324,2.30557997211301,2.31871142162277,1.77837859068946,2.3538398265195,2.55040463883642,2.45266267605887,2.16141973751964,2.11341330967262,2.20827226951451,2.02594724611296
Rpl34,0.84853235065432,1.42716217605191,0.976463375471601,0,1.19601373977005,1.62010165048991,1.21838054238863,1.278929955343,1.27404952560556,1.1603647363222,1.23812469193672,1.24140947934704,1.28930652888631,0.944077633561525,1.22816940806093,1.55638554093815,1.28802025466213,1.19984357874772,1.1845763907979,1.25733822617924,1.36313532135694
Rpl35,0.815521869911747,1.25703668152212,0.776160280991962,0,1.05689791174799,1.38863170930928,1.11021971431578,1.19243163175877,1.07046664704618,0.984409532374651,1.15487670971905,1.10767691419798,1.11873575990215,0.944077633561525,1.165279703587,1.16117545453803,1.20782185117859,1.07133704597501,1.01067935933706,1.16450027929806,1.10837549478985
Rpl35a,0.678183864441656,1.18764827095006,0.679888084986752,0,0.903982200835641,1.29204027525705,1.01610941892872,1.13668122512795,1.11304324449601,0.987339792003485,1.03116185574029,0.860914681618535,1.11021971431578,0,1.06291328827335,1.00760895284962,1.11826437799033,0.972154743485346,1.07659068363122,1.05504904795631,0.85263713851988
Rpl36,1.11714838462288,1.72870385971783,0.978967144574096,0,1.25635747319201,1.84927385649932,1.33369496626334,1.60158612126786,1.53447056177444,1.20875599281083,1.29776290986343,1.42326166871973,1.36454733115239,1.06923021994685,1.36128575500367,1.77230400082611,1.49164766575415,1.29188730934782,1.21895144834849,1.34769476502537,1.2417472433816
Rpl36a,0.815521869911747,1.3973580815868,0.933276369922031,0,1.04289417826215,1.5726434280421,1.16191217566064,1.28678571878868,1.2027989063627,1.10368953234906,1.09180154079319,0.98660552965899,1.1921583575644,0.781700167721963,1.22469469172188,1.23206668343226,1.22934124646919,1.12160500090407,1.08189850640483,1.17339456252797,1.1519043362176
Rpl36al,0,0.909418303448602,0,0,0.849487880223981,1.17471212198136,0,0.633851857195538,0.866651801629942,0.698124581837827,0,0,0,0.751329752962183,0,0.948470735059312,0.248904792602034,0,0,0,1.1762613626787
Rpl37,1.24306767099414,1.90204390267095,1.21196899704873,0,1.93134862851655,1.92119994418667,1.65384621543583,1.82070880843623,1.79664526314158,1.53572123548485,1.65240469262758,1.71912943733815,1.8138463143826,1.39982705431627,1.82341138698959,1.93238084442505,1.90791296373868,1.70725868646448,1.60743898193989,1.72850863338368,1.72772222883251
Rpl37a,1.21818998868816,1.65219883020969,1.20576979010268,0,1.30908271035122,1.82592115924143,1.56234812582025,1.61877939508374,1.49973706021671,1.32237900182418,1.69199565750835,1.56170267453826,1.62105530520036,1.28638454712411,1.64578133015552,1.5905549106335,1.70253343660944,1.45321614400244,1.68390206943501,1.50495811104856,1.47694557790869
Rpl39,1.14113570804076,1.62264300460715,1.12869555239,0,1.26267752683791,1.76312291522795,1.36080292826455,1.58699284838793,1.49973706021671,1.23871538350507,1.33681747180578,1.28322308761753,1.36600272778064,0.781700167721963,1.34357746002328,1.55307996394471,1.5321316918956,1.27909230962069,1.23635500459583,1.48387424791883,1.31189901021948
Rpl4,1.33127725000188,2.03198723545212,1.31611076323575,0,2.01033621513808,2.01168765168663,1.80305691217288,1.86555723466045,1.7600125659255,1.38748728988159,1.83867610070481,1.60712273051796,1.88034102880642,1.25396350081729,1.88255504457882,1.96626312030022,1.89386421321296,1.85852517556222,1.81520581457192,1.83031843932229,1.63231077689331
Rpl5,0.695611572609677,1.04296942153935,0.687523475354876,0,1.11498123086311,1.19599031920863,0.942864018175661,1.07308526966876,0.872300978075165,0.662917464107722,0.956419760838764,0.915961390944265,0.979324799776887,0,0.948232297800913,1.03522111358254,1.04172987803747,0.864971713146489,0.699207261325943,0.835327806008475,1.02715454766347
Rpl6,0.769343176432669,1.2654861638558,0.859428645061702,0,1.35917333281931,1.520561889514,1.17128746086587,1.07903376223735,1.15933568020478,1.01767203951794,1.06356281955259,1.03217259556732,1.19984357874772,0.874970910091693,1.21638562244243,1.21753308479772,1.25611883724382,1.099994023236,1.12448973712484,1.12160500090407,1.16198640506459
Rpl7,1.00913898754107,1.51067044649552,1.07003366155427,0,1.54048236371463,1.68971768959837,1.35839894680921,1.28678571878868,1.23049557061365,1.11021971431578,1.28931201072608,1.34104362910875,1.50871037351178,1.20524575852447,1.32715790199583,1.36917544767192,1.46929603720663,1.67703283774581,1.3210213140276,1.28099734613789,1.28381414483733
Rpl8,1.04751175169977,1.77195005582793,1.08827286448386,0,1.66167451332135,1.6879647101774,1.61160840770968,1.72688150998791,1.62423375684969,1.29708205989029,1.37444502697728,1.57894975161593,1.67703283774581,1.25016709853495,1.71621618897571,1.48409210218836,1.82593542404906,1.56316093143246,1.5683850424498,1.69064192847517,1.66616521880841
Rpl9,0.581213167038021,1.09541094142989,0.73622579185598,0,1.00534736877238,1.16877338928012,0.949925135827282,1.03584461408654,0.951963867504716,0.770663742166113,1.07879583085107,0.915961390944265,1.02556082883587,0.781700167721963,1.08502030112431,1.17792016052193,1.04834635726707,1.00913898754107,0.935899398253259,0.943527440814,1.1009460230034
Rplp0,1.2003965328212,1.80843120638745,1.460330556707,0,2.16351867013617,1.86428763814303,1.54059648531108,1.57070446658979,1.78844480455012,1.32783972747234,1.38187467810839,1.46937878845319,1.67475689664657,1.07545234047528,1.63709350095295,1.77278273119612,1.80104493980646,1.49440860671139,1.4970676741337,1.54156156269506,1.13306280871644
Rplp1,1.32537644377666,1.91188307388521,1.49069068266421,0,1.94509970936635,2.04989914377451,1.64760691634153,1.70019458387004,1.9073032710792,1.57051829312133,1.59054496441124,1.50081343937482,1.80708312072641,1.21109595667703,1.72525601122425,2.11249059616558,1.89386421321296,1.7048905925275,1.73134967337521,1.83309118677861,1.54900299024344
Rplp2,0.973937025046645,1.72616706549981,0.966848401730854,0,1.53489991749069,1.54704667661883,1.32034395839005,1.4864252239682,1.49440860671139,1.23400414468982,1.29710443869523,1.23712604361358,1.30429804801002,0.953231270154762,1.31226879880109,1.5905549106335,1.32068319398146,1.20875599281083,1.21895144834849,1.27562158755978,1.12508703190118
Rps10,0.58672739333689,1.05099897398764,0,0,0.56889898973806,1.18438640368715,0.877456745853455,0.925037020062173,0.798085977001235,0.69525407588184,0.6966865032257,0.866255744363635,0.921021814827956,0,0.850944273147235,0.937220966373797,0.753783988346795,0.768465369778076,0.76758961093919,0.851012331343128,1.06136862186398
Rps11,1.23517838856564,1.94174776594392,1.2034507668295,0,1.64884344809914,2.05100259471391,1.67665542390797,1.85810839760167,1.87300464275199,1.76382986348752,1.47350483136828,1.68565565748848,1.73134967337521,1.12834189746661,1.70431817764105,2.06339521313575,1.8710598213035,1.74492664880691,1.61683864793562,1.70253343660944,1.87087086987945
Rps12,0.840024733766298,1.50452490820045,0.859977291253501,0,1.26802408183266,1.55010763411493,1.20707673382093,1.29512916399401,1.35159694756902,1.1416331449764,1.19819035302481,1.19367998706226,1.24705255910611,0.782191677301639,1.25611883724382,1.29838912046741,1.31294316300738,1.17076218085636,1.14312819619473,1.2653256844367,1.19402833481794
Rps13,0.981497277898095,1.75571447788571,1.12795416031239,0,1.55238432122457,2.00091652242105,1.37604022497716,1.70844640416596,1.5270129889437,1.23989916166192,1.28099734613789,1.36310188545515,1.44934209063113,1.44163035076896,1.49721839412046,1.56218565362788,1.66966121567051,1.33334892067138,1.26780521974955,1.36965626747326,1.29538882435469
Rps14,1.70725868646448,2.31281423493806,1.7962000194913,0.911579588500909,2.04980589992348,2.50094558675982,2.13227068174336,2.23538188951108,2.09406250992046,1.83086842778548,2.2478185336943,2.05581310610785,2.24613950866004,1.94149678331636,2.26157548179614,2.19622108887936,2.29302959327624,2.25810655215748,2.08928936789191,2.17258792765692,2.38941846538507
Rps15,0.827587029677465,1.29773488846666,0.985900104211777,0,1.28899916711652,1.62854064649507,1.25126629988966,1.3322432330294,1.27593560283183,1.16657972194135,1.21496751385721,1.19547753011951,1.29188730934782,1.04447063971338,1.25733822617924,1.0580476467056,1.3508952428752,1.23989916166192,1.19070628002857,1.2628615503957,1.07335791207815
Rps15a,1.33751303627619,1.8425367687445,1.58302081461283,0,1.64220828363578,1.83283406011852,1.82616641519134,1.93046243442977,1.8138463143826,1.67248780030817,1.55377716375595,1.74106362530127,1.94307048145067,1.07545234047528,1.92163521931928,1.89199055365789,1.8749552196137,1.82616523792688,1.74120026593832,1.91802871782902,1.49234209466106
Rps16,0.878026560032475,1.37443735786624,0.922936408099116,0,1.31014984628521,1.54943889893964,1.22239167436273,1.181686977554,1.30100746149548,1.15117189942933,1.16632089425337,0.963391231261365,1.26408977977218,0.963373387599784,1.23753400036836,1.4030150075718,1.28802025466213,1.08189850640483,1.19543925159188,1.23753519405045,0.732879222371499
Rps17,0.920068502899532,1.5368331224237,0.971088753994918,0,1.32962644963308,1.82448795083007,1.28100270939747,1.44084337467647,1.26904886743311,1.12160500090407,1.34111765252712,1.13571199525145,1.37333001497051,1.10798351462774,1.31764046297578,1.5155607863686,1.41446385173586,1.23989916166192,1.20316940495386,1.33508300251677,1.49234209466106
