,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
PTGR1,1.00141187054396,2.00637582948719,1.00141187054396,1.00141187054396,3.01747376435913,1.00141187054396,2.16869357714335,0,2.91973795995578,0
PTPRF,1.58873426750377,3.34511411240253,0,2.00637582948719,3.48549800542213,2.00637582948719,2.41418899251981,1.58873426750377,0,1.58873426750377
PTPRK,0,2.5968095554523,1.58873426750377,1.00141187054396,2.3310113247995,0,1.79755504849548,1.00141187054396,2.00637582948719,1.58873426750377
PTPRN,4.04066547433843,0,0,3.73230829087369,0,3.61392337716269,0,2.5968095554523,1.00141187054396,3.61392337716269
PTPRN2,3.1902461228973,0,0,2.3310113247995,1.00141187054396,2.00637582948719,0.500705935271981,2.00637582948719,0,1.58873426750377
QPCT,3.34511411240253,1.00141187054396,0,3.01747376435913,0,2.5968095554523,0.794367133751885,2.5968095554523,0,1.58873426750377
RAB11FIP1,2.00637582948719,3.34511411240253,0,2.00637582948719,4.4478756194429,2.82200215555242,4.40774842886888,1.00141187054396,0,2.5968095554523
RAB31,0,0,3.34511411240253,1.00141187054396,1.00141187054396,1.00141187054396,0.500705935271981,0,4.04066547433843,0
RAB3B,3.48549800542213,0,0,2.00637582948719,1.00141187054396,3.34511411240253,0.500705935271981,2.5968095554523,0,1.58873426750377
RAP1GAP2,3.01747376435913,1.00141187054396,0,2.3310113247995,1.58873426750377,3.48549800542213,0.500705935271981,2.5968095554523,0,3.1902461228973
RASD1,2.00637582948719,1.00141187054396,0,1.00141187054396,0,3.01747376435913,1.16550566239975,2.5968095554523,0,2.00637582948719
RASSF6,0,1.00141187054396,0,1.00141187054396,2.3310113247995,1.00141187054396,1.79755504849548,0,0,0
RBM47,2.00637582948719,3.1902461228973,0,1.00141187054396,3.61392337716269,2.00637582948719,3.21796276635755,1.58873426750377,0,1.58873426750377
RBP1,1.00141187054396,2.82200215555242,1.00141187054396,1.58873426750377,2.00637582948719,0,0.500705935271981,1.00141187054396,1.58873426750377,2.5968095554523
RBP4,1.00141187054396,1.00141187054396,0,6.510463090192,1.00141187054396,4.21651357227149,0.500705935271981,1.00141187054396,1.00141187054396,2.3310113247995
RBPMS,0,2.3310113247995,2.00637582948719,0,2.5968095554523,0,1.29507306902387,0,2.5968095554523,0
REG1A,2.3310113247995,3.34511411240253,2.5968095554523,2.00637582948719,10.6420617177369,2.3310113247995,2.30310401593145,1.58873426750377,2.5968095554523,1.58873426750377
REG1B,1.00141187054396,1.00141187054396,1.58873426750377,1.00141187054396,9.22045865834775,1.00141187054396,0,1.00141187054396,1.00141187054396,0
REG3A,2.00637582948719,2.5968095554523,2.5968095554523,1.58873426750377,9.41072747400806,2.00637582948719,1.66621159767173,0,2.82200215555242,0
REST,0,2.3310113247995,2.5968095554523,0,2.3310113247995,0,3.02352065191281,0,3.01747376435913,0
RFX6,2.5968095554523,0,0,2.00637582948719,0,1.58873426750377,0,1.00141187054396,0,1.00141187054396
RGS2,0,1.00141187054396,0,2.5968095554523,1.00141187054396,1.00141187054396,0,0,1.29507306902387,0
RGS4,3.73230829087369,0,0,1.00141187054396,0,1.00141187054396,0,2.00637582948719,1.00141187054396,0
RHOC,0,2.00637582948719,1.58873426750377,0,2.00637582948719,0,1.16550566239975,0,2.00637582948719,1.00141187054396
RHOQ,1.00141187054396,2.3310113247995,1.00141187054396,1.00141187054396,2.5968095554523,2.00637582948719,1.79911071299813,0,3.84214376653737,0
RIMBP2,2.00637582948719,0,0,1.58873426750377,0,1.58873426750377,0,1.00141187054396,0,1.00141187054396
RIN2,2.3310113247995,1.00141187054396,2.00637582948719,1.00141187054396,1.58873426750377,1.58873426750377,0,1.58873426750377,1.58873426750377,1.58873426750377
RNF213,1.00141187054396,2.5968095554523,1.00141187054396,1.00141187054396,2.82200215555242,1.00141187054396,0.500705935271981,1.00141187054396,2.00637582948719,1.00141187054396
RPL19P12,1.58873426750377,1.58873426750377,1.58873426750377,1.58873426750377,2.82200215555242,1.58873426750377,0.794367133751885,1.00141187054396,2.16869357714335,1.00141187054396
RPS4Y1,0,1.58873426750377,1.00141187054396,1.00141187054396,2.5968095554523,1.58873426750377,0,1.00141187054396,0,0
RRAGD,1.00141187054396,1.00141187054396,0,1.00141187054396,1.00141187054396,3.01747376435913,0.500705935271981,1.00141187054396,0,0
RSU1,0,2.00637582948719,2.3310113247995,0,2.82200215555242,1.00141187054396,1.0031879147436,0,3.48549800542213,0
RTN1,2.3310113247995,0,0,2.00637582948719,0,1.58873426750377,0,2.00637582948719,0,1.58873426750377
S100A10,0,3.1902461228973,1.00141187054396,0,1.00141187054396,0,1.00141187054396,1.00141187054396,0,1.00141187054396
S100A11,1.00141187054396,4.71153117401635,2.82200215555242,1.58873426750377,4.51800216022477,1.58873426750377,2.4639104401259,1.58873426750377,4.82868858074601,0
S100A6,1.00141187054396,4.21651357227149,1.00141187054396,2.00637582948719,1.58873426750377,1.00141187054396,3.55740585783853,1.00141187054396,2.3310113247995,2.82200215555242
SAT1,1.58873426750377,5.1830677105675,2.5968095554523,1.58873426750377,6.39496567775399,1.58873426750377,4.03784799275664,1.00141187054396,3.1902461228973,1.00141187054396
SCD,2.5968095554523,1.00141187054396,1.00141187054396,2.5968095554523,0,4.33598993227354,1.00141187054396,2.3310113247995,3.01747376435913,1.58873426750377
SCD5,0,2.5968095554523,0,2.3310113247995,1.00141187054396,3.48549800542213,0,1.00141187054396,1.00141187054396,0
SCG2,5.85486517074774,1.00141187054396,0,3.61392337716269,1.00141187054396,4.0858748075301,1.58873426750377,5.7259553443893,2.00637582948719,3.73230829087369
SCG3,3.48549800542213,0,0,3.1902461228973,0,3.73230829087369,0,3.01747376435913,0,2.82200215555242
SCG5,5.7259553443893,0,0,4.5851560646606,1.00141187054396,4.51800216022477,0.500705935271981,4.64959141436424,3.01747376435913,2.82200215555242
SCGN,4.13108414072177,0,0,3.94461184479151,1.00141187054396,5.27186540239799,0.500705935271981,3.01747376435913,1.00141187054396,2.00637582948719
SDC2,2.3310113247995,1.00141187054396,0,1.58873426750377,1.58873426750377,1.58873426750377,1.79911071299813,0,3.94461184479151,1.00141187054396
SDC4,0,2.3310113247995,0,0,3.48549800542213,0,3.21796276635755,0,0,0
SEC11C,3.34511411240253,2.3310113247995,1.00141187054396,5.27186540239799,3.1902461228973,4.04066547433843,1.95987279615163,3.61392337716269,1.00141187054396,3.1902461228973
SEL1L3,0,3.73230829087369,0,0,3.34511411240253,0,1.50389385001558,0,1.58873426750377,0
SEMA6A,0,2.82200215555242,0,0,1.00141187054396,0,1.79755504849548,0,0,0
SEPT9,1.00141187054396,2.5968095554523,1.58873426750377,0,1.00141187054396,0,1.79755504849548,0,2.70940585550236,1.00141187054396
SERPINA1,1.00141187054396,2.82200215555242,0,1.58873426750377,0,0,0.500705935271981,1.00141187054396,0,4.13108414072177
SERPINA3,0,4.297494697513,1.00141187054396,0,7.17754043654295,0,1.0031879147436,0,1.00141187054396,0
SERPINB1,1.00141187054396,2.00637582948719,1.00141187054396,1.00141187054396,3.34511411240253,1.00141187054396,1.95987279615163,1.00141187054396,0,1.00141187054396
SERPINE2,2.3310113247995,0,0,0,0,0,0,1.00141187054396,2.5968095554523,3.01747376435913
SERPING1,0,3.48549800542213,0,0,1.00141187054396,0,0,0,1.00141187054396,0
SETD7,0,2.00637582948719,2.3310113247995,1.00141187054396,2.3310113247995,1.58873426750377,0,0,2.5968095554523,0
SGK1,0,1.00141187054396,4.21651357227149,0,3.1902461228973,0,0,0,0,0
SH3BP4,0,2.82200215555242,1.58873426750377,0,3.1902461228973,0,1.79755504849548,0,2.82200215555242,2.00637582948719
SH3GL2,1.58873426750377,0,0,1.00141187054396,0,2.00637582948719,0.794367133751885,0,0,1.00141187054396
SLC12A2,0,2.3310113247995,1.00141187054396,0,2.5968095554523,0,2.09277191147803,0,1.00141187054396,0
SLC12A7,1.00141187054396,2.00637582948719,3.48549800542213,0,2.3310113247995,0,2.4639104401259,0,0,1.00141187054396
SLC16A7,0,2.82200215555242,0,0,2.5968095554523,0,1.00141187054396,0,1.00141187054396,0
SLC22A17,3.34511411240253,0,1.00141187054396,2.3310113247995,0,1.79755504849548,0.500705935271981,1.58873426750377,1.58873426750377,2.5968095554523
SLC29A4,2.00637582948719,0,0,1.00141187054396,0,1.58873426750377,0,1.00141187054396,0,1.58873426750377
SLC30A8,4.77117207565512,0,0,3.1902461228973,0,4.98996647140356,0,2.82200215555242,0,0
SLC38A1,0,2.5968095554523,0,1.00141187054396,2.3310113247995,0,0,0,1.79755504849548,0
SLC38A2,0,2.5968095554523,3.73230829087369,1.00141187054396,3.01747376435913,1.00141187054396,3.3894434721212,0,4.04066547433843,1.00141187054396
SLC38A4,2.5968095554523,0,0,1.00141187054396,0,0,0,0,0,1.58873426750377
SLC39A14,1.00141187054396,1.58873426750377,1.00141187054396,1.00141187054396,3.34511411240253,2.00637582948719,3.18129393838083,1.00141187054396,2.82200215555242,1.58873426750377
SLC4A4,0,4.37448516703409,0,1.00141187054396,1.00141187054396,0,2.3310113247995,0,0,0
SLC7A11,0,0,3.34511411240253,0,2.00637582948719,0,1.66621159767173,0,4.55157911244268,0
SLC7A2,4.88423612140334,1.00141187054396,0,2.5968095554523,3.61392337716269,3.34511411240253,0,2.3310113247995,0,1.00141187054396
SLC7A8,2.5968095554523,0,0,1.58873426750377,0,2.00637582948719,1.00141187054396,1.00141187054396,0,0
SLC9A3R1,1.00141187054396,2.82200215555242,1.00141187054396,0,2.5968095554523,1.58873426750377,2.80714165990571,1.00141187054396,0,0
SMARCA1,3.01747376435913,1.58873426750377,1.00141187054396,2.00637582948719,1.00141187054396,2.00637582948719,1.00141187054396,2.00637582948719,2.00637582948719,2.00637582948719
SMOC1,1.58873426750377,0,0,0,0,0,0,1.00141187054396,0,2.00637582948719
SNAP25,2.00637582948719,0,0,2.5968095554523,0,2.3310113247995,0.500705935271981,2.00637582948719,0,1.58873426750377
SNHG5,1.00141187054396,1.00141187054396,1.00141187054396,1.00141187054396,2.3310113247995,1.00141187054396,2.30310401593145,0,3.34511411240253,0
SOD2,1.00141187054396,3.61392337716269,1.00141187054396,1.00141187054396,5.13684910133584,1.00141187054396,1.66621159767173,1.00141187054396,1.58873426750377,1.00141187054396
SORBS2,1.00141187054396,3.1902461228973,0,1.58873426750377,3.34511411240253,1.58873426750377,0,1.58873426750377,0,2.00637582948719
SORL1,1.00141187054396,1.00141187054396,0,3.01747376435913,0,3.61392337716269,0,2.00637582948719,0,0
SOX4,0,4.64959141436424,4.21651357227149,0,4.13108414072177,0,2.32479570718212,1.00141187054396,4.17379885649663,1.00141187054396
SPARC,0,0,6.22200484878898,0,0,0,0.500705935271981,0,8.04648434873431,0
SPATS2L,1.58873426750377,2.82200215555242,1.58873426750377,1.00141187054396,2.3310113247995,0,3.25148588489063,1.00141187054396,3.89337780566444,2.3310113247995
SPINK1,1.00141187054396,2.00637582948719,1.00141187054396,0,8.33184764861332,0,5.06774984334376,0,1.00141187054396,5.79153838879139
SPINT2,5.04038687174049,4.64959141436424,1.00141187054396,3.94461184479151,4.88423612140334,3.84214376653737,4.11531649731889,3.61392337716269,1.58873426750377,4.04066547433843
SPP1,0,5.79153838879139,0,0,0,0,1.29840477772615,0,0,0
SPTBN1,1.00141187054396,4.13108414072177,3.1902461228973,1.58873426750377,3.73230829087369,1.00141187054396,3.6700021578886,1.00141187054396,3.41530605891233,1.58873426750377
SQSTM1,2.3310113247995,4.4478756194429,3.84214376653737,3.01747376435913,5.27186540239799,4.13108414072177,5.66591374913847,2.82200215555242,5.01517667157202,2.3310113247995
SRXN1,1.00141187054396,1.00141187054396,1.00141187054396,1.00141187054396,2.00637582948719,2.3310113247995,1.29507306902387,0,3.01747376435913,1.00141187054396
SST,6.32258226830496,5.94600313665813,4.71153117401635,10.6420617177369,6.08884697823076,6.37111060471498,5.98466153761266,6.297891862279,6.57699208983998,6.32258226830496
ST3GAL1,1.00141187054396,2.00637582948719,2.00637582948719,1.00141187054396,1.00141187054396,0,1.29507306902387,0,2.3310113247995,0
STAT6,0,2.3310113247995,0,1.00141187054396,2.3310113247995,0,1.29507306902387,0,2.16869357714335,0
STMN1,2.00637582948719,1.58873426750377,0,1.58873426750377,1.00141187054396,1.00141187054396,1.16550566239975,1.00141187054396,0,0
STMN2,2.00637582948719,0,0,1.00141187054396,0,1.58873426750377,0,2.5968095554523,0,2.00637582948719
STX1A,1.58873426750377,0,0,1.58873426750377,0,2.3310113247995,0.794367133751885,1.00141187054396,0,2.82200215555242
STXBP1,2.5968095554523,1.00141187054396,1.00141187054396,2.5968095554523,1.00141187054396,3.48549800542213,1.00141187054396,2.00637582948719,1.58873426750377,2.00637582948719
SYNE2,0,3.61392337716269,2.5968095554523,3.01747376435913,3.01747376435913,3.1902461228973,1.66621159767173,2.00637582948719,0,0
SYT11,1.58873426750377,0,1.00141187054396,2.00637582948719,0,2.00637582948719,0.500705935271981,1.58873426750377,1.58873426750377,1.00141187054396
SYT13,1.00141187054396,0,0,2.3310113247995,0,3.84214376653737,0,1.00141187054396,0,0
SYT4,1.58873426750377,0,0,2.00637582948719,0,1.58873426750377,0,1.00141187054396,0,2.00637582948719
SYT7,2.3310113247995,0,0,2.00637582948719,0,3.01747376435913,0,2.00637582948719,0,1.58873426750377
TACSTD2,0,5.04038687174049,0,0,5.27186540239799,0,4.72797796642916,0,0,0
TC2N,0,2.00637582948719,0,0,3.84214376653737,0,0.500705935271981,0,0,0
TCEAL2,1.58873426750377,0,0,1.58873426750377,0,1.00141187054396,0,1.00141187054396,0,2.00637582948719
TES,1.00141187054396,2.5968095554523,1.58873426750377,0,2.3310113247995,1.00141187054396,2.57650674017596,0,1.00141187054396,0
TFPI,0,2.00637582948719,0,0,1.58873426750377,0,0.500705935271981,0,3.1902461228973,0
TFRC,1.00141187054396,2.3310113247995,0,0,1.00141187054396,1.00141187054396,2.16869357714335,0,1.58873426750377,0
TGFBR3,0,0,1.00141187054396,1.00141187054396,0,2.3310113247995,0,0,0,0
TIMP1,2.00637582948719,2.00637582948719,2.00637582948719,2.3310113247995,0,2.00637582948719,1.79755504849548,2.3310113247995,7.15997225876412,1.58873426750377
TIMP2,0,3.61392337716269,2.5968095554523,2.00637582948719,3.01747376435913,3.61392337716269,2.70940585550236,1.00141187054396,4.91109494701844,0
TJP2,1.00141187054396,2.3310113247995,0,1.00141187054396,2.3310113247995,0,2.80714165990571,1.00141187054396,0,1.00141187054396
TKT,1.00141187054396,2.3310113247995,2.00637582948719,1.00141187054396,3.1902461228973,2.00637582948719,0.794367133751885,1.00141187054396,3.89337780566444,0
TM4SF1,0,4.4478756194429,3.94461184479151,0,4.37448516703409,0,2.09277191147803,0,0,0
TM4SF4,5.43668500397911,1.00141187054396,0,1.58873426750377,0,0,0,3.61392337716269,0,5.43668500397911
TMBIM1,1.58873426750377,3.34511411240253,1.00141187054396,1.00141187054396,3.94461184479151,1.00141187054396,3.36394684808703,1.00141187054396,2.5968095554523,2.00637582948719
TMC5,0,2.00637582948719,0,0,3.34511411240253,0,1.29840477772615,0,0,0
TMEM123,1.00141187054396,3.1902461228973,2.5968095554523,1.00141187054396,3.61392337716269,2.00637582948719,1.29507306902387,1.00141187054396,2.70940585550236,1.00141187054396
TMEM176A,3.01747376435913,0,0,1.58873426750377,0,0,0,2.00637582948719,0,3.48549800542213
TMEM176B,4.21651357227149,1.00141187054396,0,2.82200215555242,1.00141187054396,1.58873426750377,0,3.01747376435913,0,3.94461184479151
TMSB10,1.00141187054396,3.61392337716269,3.48549800542213,0,3.01747376435913,1.00141187054396,2.3310113247995,1.00141187054396,4.04066547433843,1.00141187054396
TMSB4X,3.01747376435913,6.44189792030718,5.08931690523061,3.34511411240253,6.66281472156364,2.00637582948719,5.01577946526595,1.58873426750377,5.82347237337479,1.00141187054396
TNFRSF12A,0,3.01747376435913,0,1.00141187054396,2.5968095554523,0,2.74593691745466,0,3.01747376435913,1.00141187054396
TNFSF10,0,2.5968095554523,0,0,2.00637582948719,0,1.50389385001558,0,0,0
TNS1,0,1.58873426750377,1.58873426750377,0,1.58873426750377,1.00141187054396,0,0,3.84214376653737,0
TPD52,3.48549800542213,2.00637582948719,0,3.84214376653737,2.5968095554523,3.48549800542213,2.16869357714335,2.5968095554523,0,2.3310113247995
TPM1,1.58873426750377,4.64959141436424,1.58873426750377,1.58873426750377,4.88423612140334,1.58873426750377,1.29840477772615,1.00141187054396,4.74135162483574,1.00141187054396
TPM4,2.00637582948719,4.04066547433843,3.48549800542213,2.00637582948719,3.01747376435913,2.00637582948719,2.59831097619224,1.00141187054396,6.01869226859752,1.58873426750377
TPPP3,1.00141187054396,1.00141187054396,0,2.3310113247995,0,1.00141187054396,1.50389385001558,0,0,0
TSPAN13,2.00637582948719,2.5968095554523,2.5968095554523,1.58873426750377,4.21651357227149,3.01747376435913,1.29507306902387,2.00637582948719,1.00141187054396,2.00637582948719
TSPAN2,2.00637582948719,0,0,1.00141187054396,0,1.58873426750377,0,1.00141187054396,0,0
TSPAN7,2.3310113247995,0,0,2.00637582948719,0,2.00637582948719,0,2.00637582948719,0,1.00141187054396
TSPAN8,0,3.61392337716269,0,0,0,0,3.65417036473432,0,0,0
TUBA1A,3.61392337716269,4.13108414072177,3.48549800542213,3.34511411240253,1.58873426750377,3.73230829087369,1.00141187054396,2.82200215555242,4.04066547433843,3.48549800542213
TUBA1C,0,2.3310113247995,2.00637582948719,0,2.82200215555242,1.00141187054396,3.00612413922486,0,3.34511411240253,0
TUBB2A,0,1.58873426750377,0,1.00141187054396,2.82200215555242,1.00141187054396,2.16869357714335,1.00141187054396,1.00141187054396,1.00141187054396
TUSC3,3.94461184479151,3.1902461228973,1.00141187054396,3.34511411240253,2.00637582948719,3.01747376435913,1.29507306902387,2.82200215555242,2.3310113247995,2.82200215555242
TXN,2.00637582948719,3.1902461228973,2.3310113247995,1.58873426750377,3.73230829087369,2.3310113247995,2.16869357714335,1.00141187054396,4.04066547433843,1.00141187054396
TXNIP,1.00141187054396,2.00637582948719,0,0,1.00141187054396,0,4.5851560646606,0,0,1.58873426750377
TXNRD1,1.00141187054396,2.3310113247995,3.01747376435913,1.00141187054396,3.34511411240253,2.3310113247995,2.67424254457932,1.00141187054396,4.04066547433843,0
UCHL1,1.00141187054396,0,0,3.73230829087369,0,4.297494697513,0.500705935271981,2.82200215555242,3.73230829087369,3.34511411240253
UGDH,1.00141187054396,1.58873426750377,0,1.00141187054396,4.5851560646606,2.00637582948719,1.95987279615163,1.58873426750377,2.3310113247995,1.00141187054396
UGT2B15,0,1.00141187054396,0,0,3.1902461228973,0,2.09277191147803,0,0,0
UNC13A,1.58873426750377,0,1.00141187054396,1.58873426750377,0,1.58873426750377,0,1.00141187054396,0,0
UNC5B,0,0,3.34511411240253,2.3310113247995,0,1.00141187054396,1.79755504849548,0,5.01517667157202,2.3310113247995
UNC80,1.58873426750377,0,0,1.58873426750377,0,1.58873426750377,0,1.58873426750377,0,0
UTRN,0,2.00637582948719,2.82200215555242,0,2.3310113247995,1.00141187054396,1.79755504849548,0,2.00637582948719,0
VGF,5.13684910133584,0,0,2.00637582948719,1.00141187054396,3.1902461228973,1.29507306902387,2.5968095554523,1.00141187054396,2.82200215555242
VIM,1.00141187054396,1.00141187054396,4.21651357227149,0,2.82200215555242,0,1.97230592239575,0,6.35904810182605,0
WLS,0,2.3310113247995,0,0,2.3310113247995,1.58873426750377,1.79755504849548,0,2.5968095554523,0
WNT4,1.00141187054396,0,0,1.00141187054396,0,2.00637582948719,0,1.00141187054396,0,0
WWC1,1.00141187054396,2.5968095554523,0,0,2.00637582948719,0,2.09277191147803,0,0,0
XBP1,2.00637582948719,2.00637582948719,1.00141187054396,2.3310113247995,4.93795377263354,2.3310113247995,2.16869357714335,1.58873426750377,2.82200215555242,1.00141187054396
XIST,0,0,0,0,0,0,0,0,1.58873426750377,0
ZFP36,1.00141187054396,2.00637582948719,1.58873426750377,1.00141187054396,1.58873426750377,0,2.83806271860101,1.00141187054396,1.00141187054396,1.58873426750377
ZFP36L1,0,4.13108414072177,0,0,5.08931690523061,0,3.37489102761641,0,5.20555868769368,0
ZFP36L2,0,2.3310113247995,2.82200215555242,0,2.00637582948719,1.00141187054396,2.53711613646295,0,0,0
