,delta,alpha,gamma,ductal,acinar,beta,unclassified endocrine,co-expression,MHC class II,PSC,endothelial,epsilon,mast,unclassified
MLEC,4.82154529024476,4.36302595793502,4.32890426781896,6.10075094037267,6.42970501836442,3.7433360814912,0,4.62764033851838,5.34023439185827,5.15928761792554,6.14717753671354,4.89187943933529,0,2.52335126861253
MLLT11,0,4.42560184975803,2.34264028117205,0,0,4.07940870257646,0,4.55392886087445,0,2.76156034962042,0,0,0,2.60330919563345
MLXIPL,5.19726183701238,5.10898848588943,5.56521527633158,0,1.0156317906386,6.269451010787,0,6.30130702188228,0,0,0,4.89187943933529,0,0
MMP7,0,0,0,8.84127333084886,0,0,0,0,0,0,0.618889483767685,0,0,0
MSN,0,0,0,5.72598257407167,3.85952326253557,0,0,2.31805141041034,6.77509753969322,6.73071371216117,7.63000006171195,0,7.4211870391488,4.04895686599176
MT2A,2.82629540623806,0,1.20712462076908,3.44827625611732,6.50776527243877,3.02574580648437,0,3.99454677447091,4.77296920581698,5.62825620167249,0,5.09143249372999,0,6.75960830768837
MTUS1,4.31054094706239,0,1.97256887007665,4.97917475175498,6.21002835956966,0,0,3.02825224677577,0,2.73992084946391,0,2.85565924845005,0,0
MUC1,0,0,0,5.427512083124,7.81497766067271,0,0,0,0,0,0,0,0,0
MUC13,0,5.49144257233891,0.359687602395035,4.97937488337439,1.012728913019,0,0,1.93022884675646,0,0,0,4.36850358215637,0,0
MVP,4.49167483094866,3.98024507698652,2.78688829213596,6.69030657271868,6.38590929594183,3.27341278070355,0,4.37875359218355,4.76832705800508,5.89420735530603,5.32005904812643,2.84862367574139,0,7.329179311684
MYD88,0,0,0,4.97226619459798,4.00844509506697,0,0,0,5.69363226485253,4.07508793007962,1.68357984616054,0,0,0
MYO1C,0,2.08053043029939,0,5.48275004767971,5.14401598223023,0,0,2.8676610125449,0,4.94117092040986,0,0,0,2.23571690510533
MYRF,0.863885337114954,2.43124891324976,4.2913498541755,5.45574179600567,4.1121116425572,0,0,1.87420120476823,0,0,0,5.25620952003723,0,0
NCALD,3.04155104652089,4.01569229141784,4.11747078849051,0,0,3.65293313928288,0,4.32357970906676,0,0,0,3.51619830537069,0,0
NDN,3.80576012216022,3.52954367222204,2.39060315419319,2.65139120779184,2.73873794754211,4.90245904284868,0,4.67248208449687,0,5.5511516538848,0,0,0,0
NEAT1,4.38960406045674,4.35506562976982,4.61165086922462,5.8642991274077,6.0533564913945,0.699471656105361,0,4.66387792722812,4.40825042140571,4.30968753449636,4.65991345366963,6.16953930761024,0,3.43832497162383
NEURL1,4.59582600752031,5.36304582537815,6.11455878357502,1.97237808484012,0,4.88312384418479,0,5.31678782466219,0,0,0,2.71562427256182,0,0.217669779702545
NEUROD1,7.12817804314468,6.97421673441061,7.30675542456125,0,0,7.4507958729741,0,7.26462810982544,0,0,0,7.04445072514684,0,0.634192118358588
NFKBIA,1.7539360484316,2.24941676351295,4.23120410835487,6.09163084998746,5.34571335025786,4.16855974161746,0,4.60158811677525,7.55657810317608,5.14713760791151,7.47677503298177,1.73083154463424,6.95877032572508,3.30070951526478
NFKBIZ,0,0,0,5.71439828233964,5.69922165937072,0,0,0,3.26142590362114,0,0,0,0,2.73501093167686
NINJ1,0,0,0,5.48970655336599,4.47641039152499,0,0,1.93584331935921,6.60832996314345,4.46536521322543,0,0,0,2.86572606309415
NPNT,0,4.89058415887651,4.88030947517463,5.32534419878503,0,0,0,1.2708330256168,0,0,0,0,0,0
NPTX2,5.12487513103815,0,0,0,0.52767686613005,7.99940487937945,0,7.28508905880615,0,0,0,0,0,0
NRP1,0,1.30225855619187,0.4771602305853,6.01342290838911,0,0,0,2.52499824949774,5.61853065662413,7.09417825019231,8.3538424313566,0,0,4.03585537256259
NUPR1,0,0,0,4.36724072175761,6.55124146197206,0,0,0,3.00012964993679,7.45667040945725,0,0,0,6.14661421524575
ODC1,4.66821508590687,3.15777879391763,1.12168051293357,5.92363565355573,4.53175299507395,4.26427115574386,0,4.62221693692852,2.22612777209431,0.41860457659684,0.855329068457327,3.28334291751679,0,0
P2RX4,1.65779757740598,4.93009439440009,0.940104264151246,5.44908933463479,5.06849387915993,2.64265870632637,0,4.74905938906425,3.4746441946788,4.13516695569964,0,0,0,4.77018998870689
PACSIN2,1.00008897241653,2.17767071381096,1.63760948090183,5.67961322798704,6.25321076960739,2.12413052929111,0,3.2551580426641,4.62219397308577,3.69276008412299,0,0,0,0.384656577935218
PALLD,4.92620451994566,6.2304932184907,4.46632434739742,3.53986300665582,3.12840908177782,2.70391014906584,0,5.03530244787619,5.662869933978,5.83935128914777,0,6.29816139353538,0,0
PAM,6.61192945769393,7.77753866466696,8.98179625595233,1.87410593977942,5.21921331435339,8.28276973900855,3.31646260234792,8.14043848086362,1.50557721411344,6.1662399070645,3.03132655173269,8.123407771717,1.47382462449728,6.88227536292966
PAPSS2,3.77246910612488,6.62015827825232,4.93297611760927,3.63197830277407,4.58276728328717,6.89356179120152,2.42397737719072,6.85346414381112,1.10113929658449,5.15844704667002,0,7.25549744905728,0,0.647559586290685
PARM1,4.0526452189823,6.85109427977851,7.02682499116225,0,6.34098934778645,6.39177193505556,2.68045986293578,6.87205135520194,0,1.06538428307236,0,6.21266226874805,0,4.23499036136393
PARVA,0,0.970322134937633,0,5.30203922177589,5.2571463961709,0,0,3.72482150315312,0,6.25575923988517,0.43320145155153,0,0,3.39716077670144
PAX6,5.53897446223221,6.98541402766589,8.38800245470182,0,0,7.58586902663283,0,7.55160480824925,0,0,0,0,0.565989864314855,0
PCDH17,3.09799755841642,4.963446598676,4.99512505644443,0,0,2.08260348451217,0,4.55392886087445,0,0,0,0,0,0
PCK2,2.65724505183256,4.29677120212667,0,2.73868673756219,4.29727915765022,0.363998524424851,0,3.55230390537805,0,4.34268480330877,0,0,0,0
PCLO,6.09635804065909,4.7758079987313,6.52882491170778,0,0,5.42785240307045,0,5.33471810114284,0,0,0,5.18844386897481,0,0.217669779702545
PCP4,6.65470434315819,4.02908540705261,3.2889475905487,0,0,5.52253895126596,0,5.13994168833804,0,0,0,0.762218536446506,0,0.217669779702545
PCSK1,7.04207818956201,0,5.74086741393791,0,0,7.69233442410187,0,7.01364065566533,0,0,0,7.43910640539539,0,0
PCSK1N,8.81598105465897,9.39358992786695,10.0480852714352,0.457202145630247,0.984291730406317,8.84713890933269,6.02744187803812,9.66127528983575,0,0.437726636123098,0.254755522191811,9.11336150170559,1.76638928444554,0.814546384523358
PCSK2,7.6575404496743,9.69057582843573,8.03836032048989,0,0,7.4271877354749,4.58208609082675,8.3695075542323,0,0,0,5.26416299415546,0.565989864314855,0.634192118358588
PDK3,0,6.27522319127638,6.72680336066618,1.89391804727787,2.53927737617752,4.28687620352655,0,5.72083332566867,4.22891297989265,3.18911903586602,0,0.659739816903006,0,2.37917692548412
PDK4,1.6659833033845,6.06150366629874,4.5288003857771,3.35263435983266,3.9134386875059,0,0,4.14119125965731,4.86640950943765,1.72081638911535,0.659133296380345,0,0,3.04291968013443
PDLIM1,0.654570103067716,4.64066034214219,0,6.96992448371581,5.24296762618324,4.94217849013306,0,4.82820661208114,0,5.5661337895318,6.59048418270292,5.0086172795355,0,2.38850413421812
PDLIM3,0,0,0,6.73892772171905,1.2440674177398,0,0,0,0,4.4514229557755,0,0,0,0
PDX1,5.19519243617583,0,2.97317345600133,4.19382319030272,3.27563304854044,6.8075021144209,0,6.13570335723725,0,0,0,2.55401849187087,0,0
PDZK1IP1,0,0,0,6.221658705115,5.81582904842026,0,0,0,0,0,0,0,0,0
PEG10,5.39034737197728,4.80704575619248,6.86657263837386,0,0,4.34101450456526,0,4.68674484512704,0,0,0,6.3374485298974,0,0.217669779702545
PEMT,5.02237816392746,8.26673995564138,4.63260629861351,3.60010195729928,3.36950291121753,7.46780222181822,1.46351248026344,7.88281311389029,0.940874298674643,3.9159807247013,0.84854841947243,8.20066357685699,1.80316848758869,0.892101884665816
PFKFB2,3.55473070562388,0.697703739147169,0,1.92302735019179,0,7.47011936553362,0,6.77978985729237,0,0,0,0,0,0.217669779702545
PFKP,3.60106733469337,4.77039038779825,4.67951878996005,6.07686345052099,0,0.339593963671878,0,4.12379857082197,0.514512363888487,4.29882333735234,2.88893481652929,0,2.17805428020474,2.67528193313846
PGD,3.85919907913387,4.1289503636175,3.67239001244683,5.75718961318179,5.32415658559773,4.2944413289979,0,4.38916168011475,7.2451635337199,5.72841791506045,1.62362093009819,0,0,0.697400319631334
PGR,1.23842632017343,4.44458617352079,4.70264629577703,0,0,0,0,2.99186782294139,0,0,0,0,0,0.384656577935218
PHGDH,0,0,0,4.82814260091945,4.77985734291316,0,0,0.927387139244595,0,6.75356481099548,0,0,0,0
PIGR,0,0,0,7.24526584618123,4.98941445986687,0,0,0,0,0,0,0,0,0
PKIB,6.20277071757898,0,3.92340634179748,0,1.68305492754259,5.24652131232729,0,4.81654240076025,0,0,0,6.06411203596539,0,2.3205295258691
PLCE1,0,5.22986382458404,0,0,0,0,0,3.25059510853617,0,0,0,0,0,0.42988980658814
PLCXD3,3.83240199860474,4.12452246571765,5.07209848127089,0,0,6.22508853478627,0,5.66767306197024,0,0,0,0,0,0
PLEKHB1,5.75462163903531,0,5.85842123713761,4.56993458733188,2.35488163387062,0,0,3.10551191811467,0,0,0,5.13344202273233,0,2.9639356745396
PLIN2,0,2.53404353531825,0,2.36184227137756,4.17988624518679,0,0,0.593948614070891,6.22062597576973,8.58841690847353,4.71384859578821,0,6.60528247985147,4.3788172855008
PLIN3,1.77846791908891,5.53241249569522,2.84626901991761,5.01158942439674,3.83637853596817,0,0,3.45394827225678,6.09554302628142,5.3490364327631,0,5.53126585365231,0,0
PLK2,4.24738049213223,6.63695474757667,7.1900133843444,3.91504506284987,2.58174273957408,3.60121003995528,0,6.71871078128522,0,0.240235399150725,6.97424608163527,0,0,3.50057868437073
PLOD1,0,0,0,4.35435203501604,4.93221436031248,0,0,2.449259462433,3.61682438916551,6.71367186257433,6.36305507376032,0,0,6.46088591717962
PLS3,1.26747520371155,0,2.32227066741984,5.55212643059344,4.15226666159848,0,0,0,0,5.5033113772131,6.19986755629988,0,0,7.79410523433308
PLXNB2,6.06464280860528,5.35500043895952,6.94945350342149,7.01588142346905,5.14819962920294,5.73168267717911,0,6.0443589949568,2.70446200338171,5.71716240401716,3.32450690133363,6.56127816337208,0,4.81370757025656
PMEPA1,0,0,0,6.76426174905655,1.37993862877784,0,0,0,0,5.28261530339728,6.16941658120641,0,0,8.09750459151544
PNMA1,5.98870746863528,5.04097239318357,5.25412415654638,3.86606957778563,0,5.75728660026628,0,5.81670935330283,3.24046330988099,5.13201744200072,0,5.53126585365231,0,2.51562294557047
PNMA2,5.56252631116757,4.4973909839844,4.83817431097012,0,0,5.36710360165321,0,4.72801767253802,0,0,0,5.66978463236623,0,0
PNRC1,4.11581995896002,4.47687896926463,4.63225453390822,6.06577757610713,5.64438296395104,5.02589342834585,0,4.94126108484141,6.84659579494113,5.28327850309922,0.43320145155153,5.63526119914332,0,2.10905939791466
POLD4,0.550857350782778,0.287840098721251,0.546666085216593,5.4309075500406,5.50085505233213,0.299414927034821,0,3.61407679762325,3.97407587966352,5.81662481604604,4.92102346051339,0,0,0
POLDIP2,3.8833417367065,4.293686540877,2.83931061108683,5.65478443023973,5.57845032011715,4.7698724950364,0,5.08728225902025,5.4264094794568,5.61599760283056,1.20860657152113,5.44587407500171,0,5.81326988413718
PON2,3.70805635746348,1.146962254569,3.79141737540669,6.11521915475532,4.35606951665019,3.51462295693099,0,3.57869207459436,4.88903584051731,4.42717975694511,6.29937501946489,1.06489085021413,0,7.98022378091024
PPAP2C,0,0,0,6.91379657853417,0.768010491299873,0,0,0,0,0,0,0,0,0
PPIC,0,0,0,6.38920043134668,5.31550505134607,0,0,0,0.653170269244622,6.02062524136617,6.0174400115561,0,0,0
PPIF,0,3.1575218077126,0,5.2143152199426,5.26501670634038,0,0,3.05588942697605,6.57757544699727,4.16630939290245,0,0,0,0.217669779702545
PPL,5.84886082370005,5.49167956277002,6.1155603260638,3.72942950016556,1.33363334298201,6.27181390720576,0,5.91758908993128,0,0,0,5.7601578111394,0,0
PPP1R1A,4.91643550587401,6.29508513741395,0,0,0,5.02158779036149,0,6.08498105527994,0,0,0,0,0,0.217669779702545
PPY,2.61032388901306,2.35841125097733,15.5968269583647,0.763401274373563,2.19965635944867,2.52217728184172,4.61100269692435,1.99636591373025,0,0.57423093782467,2.59519162404337,4.69912757330749,1.4113750339586,3.71051933692088
PRAF2,4.7259027035855,5.08001564691688,4.16420229967021,3.72589946041608,1.93094107495975,4.8305497376922,0,5.18531631784937,0,5.53701449128519,4.03361732363803,0.762218536446506,0,5.16243455057712
PRSS1,0,0,0,1.72909961714135,13.0691076225536,0,1.48152501786876,0,0,0,0,2.42515408638882,0,0
PRSS23,6.06306110884677,0,6.31595264953099,5.66665973593807,2.79613510553508,6.86355116625601,0,6.06249906969464,0,5.39676677840495,7.89232696266134,3.21998768599037,0,0
PRSS3,0,0.943217191881438,0,0,9.9103603003993,0,0,0.567740497881926,0,0,0,0,0,0
PRSS8,0,0,0,7.6497626357691,7.0978311041388,0,0,0,0,0,0,0,0,0
PRUNE,2.02074473992838,4.3688680868021,3.76048729833061,2.61161699733129,1.83979184434537,4.6234162700254,0,4.82820661208114,0,0,0,0.762218536446506,0,3.29588514976515
PRUNE2,4.38764875317849,3.475300659209,4.92759458596269,0,0,5.30865097387376,0,5.05802923538991,0,0,0,1.2412555127549,0,0
PSMB8,3.04894817577576,3.44108346402475,0,5.90661809676828,5.31659493322066,3.05252780120586,0,4.18072956721286,6.18962462943378,4.75620449713,4.91577406082784,2.69154711623787,0,5.74470711090663
PTP4A3,0,4.69267719411689,4.91847356322744,0,4.33580225825636,0,0,2.52499824949774,0,0,5.47198146444363,0,0,0
PTPRN,8.95546528483684,8.83535416804128,8.6910469817115,0,0.19901427442516,9.13091362600681,4.69881890583365,9.27794172619052,0,0.466277873966297,0,8.02978533217746,0.565989864314855,0.814546384523358
PTPRN2,6.15414786176841,7.32818682982859,7.14562880003805,2.70658664430489,2.15393861750483,6.1964651369026,1.15292679042991,6.81541756406637,0,0,0.885095910737095,7.0277988795408,0,0.384656577935218
PTTG1IP,5.40510236540794,5.74583540381956,5.62696910199257,7.79462796659533,6.20184366151037,6.27905490839192,0,6.24652911539656,6.80162292660277,6.66938029924339,7.39114812930004,5.88812279610442,7.60171211380454,6.04374744754421
PYCR1,0,3.06616650657546,0,0,5.43311078744588,0,0,3.70161255728699,0,5.02156058817342,0,0,0,0
QARS,2.50572669571982,3.48847898024789,4.33926918625719,5.46504897422532,5.17231167739585,3.44529345298489,0,4.67854280137166,4.79500965158858,5.43840663334792,1.0668707137204,4.91227918358575,0,2.93844957434181
QPCT,7.56483827025158,7.89494499053479,8.0192534910223,3.77252787449477,0,7.59361706839729,3.37074859354529,7.68284617707762,0,0,0.80429283961946,6.65554460332642,4.95017159460121,5.33172596178218
QSOX1,3.23825502137429,5.13136783632288,0.904949342911869,6.66346550048662,5.55956673416463,2.82618818784899,0,4.15015985557875,5.87647606865672,5.24615777051689,0.654798994453042,0,0,4.4067336210182
RAB11FIP1,4.05907684909857,4.60307182016442,4.65840991404918,6.37501942873393,7.20696035077955,5.2275646238361,0,5.43929920644032,1.65193849073334,0,0,4.79028690744158,0,0.217669779702545
RAB25,3.82810341705741,4.7094035981086,3.52255189774429,5.95359868068307,5.14991418863131,3.54289383663628,0,4.4697715555241,0,0,0,0.762218536446506,0,0
RAB26,5.10590704470298,4.82200702806019,5.01148549329547,0,0,4.87649717915086,0,5.19221077425687,0,0,0,4.64599692214985,0,0
RAB3B,6.16979879632005,7.07547075295356,7.05955550223033,0,0.217102926638303,7.2510625418095,1.6170534739478,7.22072351467226,0,0,0.169402425754197,5.03759586330747,0,0
RAB5C,4.41609522938406,4.94979791515882,3.20890843634259,6.05982720864006,5.41500009843753,5.19571452183324,0,5.35365552154553,5.85849971706105,6.03429882983261,0.874288374145876,0,0,0
RAP1GAP,4.71216168360274,5.28584126034356,6.67556807300297,5.50027931451608,5.98793145632534,4.78322521856394,0,5.23795455664968,0,0,0,0.750195609383827,0,0
RASD1,3.42687396084748,4.40712354220142,6.25293386884224,0.482953398903846,0,7.27605323940979,0,6.91777048743362,0,0,0,6.45686858251122,0,0
RASSF7,3.61905045474506,4.29638788571169,4.79073703679798,5.02268512654944,4.09414606617157,0.159006151447196,0,3.56339511203337,2.89488347520863,0,0,0,0,0
RBPMS,1.78149477828495,0,0,5.94812936135516,4.9727900270125,0,0,0,0,5.19648098694195,0.645544614439277,0,0,0
RCAN2,3.29716082255798,4.53341244943928,4.96810293758849,0,0,4.2066875130998,0,5.02998411207128,0,0,0,0,0,0
REC8,3.92316120887711,4.38360336208881,3.11479062158169,0,0,3.10461611978349,0,4.31681811675875,0,0,0,6.26123587090896,0,1.98476862774117
REG1A,0,0.177878808495219,0.791125685172571,5.67989050119694,14.6943032101192,0.714859710453542,5.16162377402982,0,0.940874298674643,0.941104464862936,0,0.828136857108187,2.18749704622567,0
RFX6,5.41464616157459,5.71230257651932,4.59549463314384,0,0,3.99103892910351,0,5.49707839371072,0,0,0,7.18135634224295,0,0
RGS4,0,6.82078620537516,5.87591635334043,0,0,0,0,5.23055020580979,0.514512363888487,0.826822900531379,0,0.750195609383827,0,0.42988980658814
RHOC,3.02713306895833,2.74003537869314,0,7.8246215378917,7.10897009556421,0,0,0.169729923394248,5.94404617067739,7.46234549677326,8.01875592920923,5.16120504385525,0,7.6225944250902
RIMBP2,2.68828230339151,4.34747800475021,2.2111525342424,0,0,3.33513810231283,0,4.30917191536355,0,0,0,6.74823062955777,0,0
RNASE4,0,4.7710419042633,4.25882479221801,4.46952971129894,4.06256360188665,0,0,1.93022884675646,0,3.23253020309683,0,5.98603357111418,0,3.23290540547274
RPS4Y1,0.849058387158325,3.46407422161297,3.86381799446861,0,0,0,0,2.9543462104494,0,2.16631144894651,4.52506282568396,4.51350539803458,0,2.55226345806619
RTN1,4.76195355927551,4.56868443086438,5.61920072645646,0,0,3.63381886018757,0,4.53367779598835,0,0,0,0,0,0
S100A10,3.71475710142997,4.99580973003025,5.94334620379529,8.25031285373662,5.24747435871758,0,0,3.76824771812684,5.96853579749563,4.17529295283802,1.72600131986246,5.86902340241667,0,7.97096133322982
S100A16,0,0,0,6.25496868387818,4.47397745616414,0,0,0,0,5.84796926792753,7.43859768713252,0,0,7.56708898374046
SAT1,5.47098274751306,4.95037263291737,4.96862436609883,9.88009059075923,9.3169695001232,5.16631620212817,2.72097845960279,5.69897118896162,9.3732516901118,6.79966246889439,5.19587557540008,5.70530923000222,5.92664654919989,5.96532465388273
SCAMP5,4.4577390506546,4.81746596158876,4.83616801060716,2.35630823438263,4.83350538906317,5.02048240605131,0,5.25720230543856,0,0,0,5.19644927452706,0,0
SCD,5.22242118859753,6.6312361128293,5.54645685712873,3.33378427619738,2.05479627200254,7.05435027128483,0,6.84015748875441,5.54873296710446,6.3599774567832,0.87858672841403,0.659739816903006,4.04763027871183,5.6661245663741
SCD5,5.20896712581673,0,0.607753307817279,5.61188675065944,2.65875570687897,6.502543739215,0,5.83485803481025,0,0,0,0,0,0
SCG2,6.48791583116126,9.28100393606059,10.1817583546588,0,0,8.15589557632324,2.84285366633375,8.80037648923687,0,7.35545909133454,1.25734194458715,7.48387580528249,1.96834792052984,4.17594258154302
SCG3,7.39550716988149,7.95412243562584,8.27268211494887,0,0,8.99019046814111,3.85907167033141,8.63764114613132,0,0,0,8.39284573164362,0.565989864314855,0.814546384523358
SCG5,9.51681309971189,10.4961642806666,10.3554565945653,0.866822609717582,1.28618505869721,10.3403163511036,6.82528664530217,10.3771623204494,0.653170269244622,3.17197691899708,1.65215274438818,9.1011610796426,2.66062708780273,1.33159243798992
SCGB2A1,0.628065911258316,5.83725580758984,7.37443021835074,0,0,5.44969484309426,0,5.9737362251576,0,0,0,0,0,0
SCGN,8.72079632419319,8.28969273427223,8.13440092639897,0,0,9.44129914221374,4.15215053319805,9.07197710348968,0,0,0.71728671534776,7.98078577224622,0.917459484812929,0.520161191679019
SDC2,4.59144405375786,5.77487879440384,0,0.568522537332432,3.69149433192609,5.33491518588843,0,5.46357180897682,3.44088204011836,6.57903922560258,0,5.88812279610442,0.565989864314855,3.17266470862495
